,WT_1,KO_1,WT_2,KO_2,WT_3,KO_3
ENSMUSG00000102693,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0
ENSMUSG00000051951,0,3,0,2,0,0
ENSMUSG00000102851,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0
ENSMUSG00000025900,1,2,11,6,3,0
ENSMUSG00000102948,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0
ENSMUSG00000025902,83,61,61,26,31,54
ENSMUSG00000104238,0,1,0,0,1,0
ENSMUSG00000102269,4,7,0,0,3,0
ENSMUSG00000096126,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0
ENSMUSG00000098104,0,0,0,1,2,0
ENSMUSG00000102175,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0
ENSMUSG00000103922,20,14,17,28,28,26
ENSMUSG00000033845,1093,935,1252,1348,1464,1384
ENSMUSG00000102275,0,4,2,3,11,9
ENSMUSG00000025903,2657,2999,2341,3020,2557,3070
ENSMUSG00000104217,0,1,3,2,0,2
ENSMUSG00000033813,1799,1738,1746,1503,1644,1486
ENSMUSG00000062588,2,4,3,11,5,5
ENSMUSG00000103280,0,3,0,0,0,1
ENSMUSG00000002459,0,0,0,0,0,0
ENSMUSG00000091305,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0
ENSMUSG00000033793,1527,1398,1406,1356,1534,1343
ENSMUSG00000104352,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0
ENSMUSG00000025907,1739,1928,1366,1872,2418,2026
ENSMUSG00000090031,11,12,5,8,17,12
ENSMUSG00000087247,0,0,0,0,0,0
ENSMUSG00000103355,1,0,0,0,0,4
ENSMUSG00000102706,0,0,0,0,0,0
ENSMUSG00000103845,0,0,0,0,0,0
ENSMUSG00000033740,0,0,0,0,0,0
ENSMUSG00000103329,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0
ENSMUSG00000102135,0,0,0,1,0,0
ENSMUSG00000103282,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0
ENSMUSG00000051285,3535,3442,2756,3621,4422,3939
ENSMUSG00000098201,0,1,0,1,4,1
ENSMUSG00000103509,27,28,12,16,45,6
ENSMUSG00000048538,230,149,268,513,332,641
ENSMUSG00000103709,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0
ENSMUSG00000097797,1,2,1,0,0,0
ENSMUSG00000103498,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0
ENSMUSG00000025909,0,0,0,0,0,0
ENSMUSG00000102647,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0
