,KO_B477,WT_B483,WT_B559,KO_B560,KO_B561,WT_B562
ENSMUSG00000102693,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0
ENSMUSG00000051951,3,0,0,0,1,0
ENSMUSG00000102851,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0
ENSMUSG00000025900.,2,1,9,0,0,0
ENSMUSG00000102948,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0
ENSMUSG00000025902.,61,42,32,9,8,22
ENSMUSG00000104238,1,0,0,0,0,1
ENSMUSG00000102269,7,1,0,0,0,3
ENSMUSG00000096126,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0
ENSMUSG00000104328,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0
ENSMUSG00000098104,0,0,0,0,0,1
ENSMUSG00000102175,0,0,0,0,0,0
ENSMUSG00000088000,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0
ENSMUSG00000103922,14,8,5,6,5,17
ENSMUSG00000033845.,935,535,660,248,441,964
ENSMUSG00000102275,4,0,0,1,2,5
ENSMUSG00000025903.,2999,1347,1198,489,1001,1757
ENSMUSG00000104217,1,0,2,1,0,0
ENSMUSG00000033813.,1738,953,972,267,459,1151
ENSMUSG00000062588,4,2,2,0,0,4
ENSMUSG00000103280,3,0,0,0,0,0
ENSMUSG00000002459.,0,0,0,0,0,0
ENSMUSG00000091305,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0
ENSMUSG00000033793.,1398,809,768,238,426,1040
ENSMUSG00000104352,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0
ENSMUSG00000025905.,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0
ENSMUSG00000025907.,1928,892,760,343,585,1652
ENSMUSG00000090031,12,3,3,1,3,11
ENSMUSG00000087247,0,0,0,0,0,0
ENSMUSG00000103355,0,1,0,1,0,0
ENSMUSG00000102706,0,0,0,0,0,0
ENSMUSG00000103845,0,0,0,0,0,0
ENSMUSG00000033740.,0,0,0,0,0,0
ENSMUSG00000103329,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0
ENSMUSG00000102135,0,0,0,0,0,0
ENSMUSG00000103282,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0
ENSMUSG00000051285.,3442,1790,1496,643,1140,3086
ENSMUSG00000098201,1,0,0,0,0,3
ENSMUSG00000103509,28,13,4,1,5,31
ENSMUSG00000048538,149,99,113,45,63,213
ENSMUSG00000103709,0,0,0,0,0,0
ENSMUSG00000077244,0,0,0,0,0,0
ENSMUSG00000102768,0,0,0,0,0,0
ENSMUSG00000097797,2,1,0,0,0,0
ENSMUSG00000103498,0,0,0,0,0,0
ENSMUSG00000103067,0,0,0,0,0,0
ENSMUSG00000102320,0,0,0,0,0,0
ENSMUSG00000104226,0,0,0,0,0,0
ENSMUSG00000103903,0,0,0,0,0,0
ENSMUSG00000103557,0,0,0,0,0,0
ENSMUSG00000025909.,0,0,0,0,0,0
ENSMUSG00000102647,0,0,0,0,0,0
ENSMUSG00000086235,0,0,0,0,0,0
ENSMUSG00000102253,0,0,0,0,0,0
ENSMUSG00000093970,0,0,0,0,0,0
ENSMUSG00000103884,0,0,0,0,0,0
