,DM-1_4+3,DM-1_9+3,DM-2_4+3,DM-2_9+3,DM-3_4+3,DM-3_9+3,DM-4_4+3,DM-4_9+3,EM-1,EM-2,EM-3,EM-4
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,304,279,227,233,347,205,245,307,1746,1672,1503,1490
ENSMUSG00000000031,2,0,0,0,4,0,6,0,0,2,0,0
ENSMUSG00000000037,10,8,2,0,0,4,2,14,28,16,56,18
ENSMUSG00000000049,14,0,4,34,4,30,20,22,8,2,0,2
ENSMUSG00000000056,2290,2524,2539,2203,2423,2222,2385,2119,1534,1431,2624,1148
ENSMUSG00000000058,6003,10392,6585,7856,6735,9149,6736,8341,9582,8153,16368,7778
ENSMUSG00000000078,5518,13207,5566,6567,5853,6613,5835,7971,5326,5121,7725,5045
ENSMUSG00000000085,904,475,844,963,873,790,817,1011,1891,2009,932,2039
ENSMUSG00000000088,2572,594,1740,2097,2435,1506,1824,2100,3326,3652,859,3394
ENSMUSG00000000093,8,14,3,4,8,8,18,8,0,2,0,12
ENSMUSG00000000094,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,4,0,2,0,0,0,4,2,2,0,0,0
ENSMUSG00000000125,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,18,12,14,30,22,20,12,24,44,44,32,46
ENSMUSG00000000127,412,1188,550,515,551,548,461,559,1077,901,1238,815
ENSMUSG00000000131,2922,5651,2573,3301,2816,3030,2801,3140,4262,4215,7025,4342
ENSMUSG00000000134,1701,1050,1644,1610,1664,1510,1700,1706,2136,2242,1144,2106
ENSMUSG00000000142,57,21,54,36,60,52,50,32,3795,3920,2390,4010
ENSMUSG00000000148,1178,486,918,857,960,893,952,984,738,848,420,916
ENSMUSG00000000149,1978,1236,2173,2319,2051,1857,2048,2080,2207,2702,1373,2562
ENSMUSG00000000154,1843,406,1884,1685,1590,1723,1485,1886,821,758,243,856
ENSMUSG00000000157,61,125,25,45,44,32,46,30,21,28,86,15
ENSMUSG00000000159,545,373,437,626,518,600,515,735,571,561,275,549
ENSMUSG00000000167,247,200,212,327,300,303,323,349,251,199,178,160
ENSMUSG00000000168,2333,2192,2409,2298,2568,2251,2566,2702,4293,3626,2933,3537
ENSMUSG00000000171,5589,1456,4822,4097,5375,3660,4857,5430,5961,6284,2320,5316
ENSMUSG00000000182,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,10694,29004,12679,11404,12495,10165,12803,11454,20008,18607,36064,19926
ENSMUSG00000000194,3011,4067,2768,2716,2918,2830,2896,3298,2427,2446,3112,2435
ENSMUSG00000000197,4,0,0,0,0,2,0,0,6,1,0,1
ENSMUSG00000000202,36,24,12,18,19,0,25,6,22,34,8,21
ENSMUSG00000000204,0,0,0,0,4,0,0,8,2,0,0,0
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000000215,0,0,0,0,0,0,0,4,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,2,0,0,0,0
ENSMUSG00000000223,26,40,2,4,10,2,6,2,26,32,120,52
ENSMUSG00000000244,0,0,0,4,0,2,0,0,16,12,0,10
ENSMUSG00000000247,0,0,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000000248,0,0,4,4,0,2,0,0,2,0,0,6
ENSMUSG00000000253,90,32,120,82,196,70,142,152,719,676,176,662
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0,0
