,193DM1,193DM2,193DM3,193DM4,194DM1,194DM2,194DM3,194DM4,226DM1,226DM2,226DM3,226DM4,226EM1,226EM2,226EM3,226EM4
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,44,32,28,41,23,24,8,2,5,22,27,41,22,7,13,6
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,3,1,1,0,1,0,0,3,0,1,0,0,0,0,1
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900.,0,0,0,0,0,0,0,0,0,0,1,1,3,1,1,0
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902.,1,3,2,1,6,6,0,6,3,1,0,0,25,12,6,33
ENSMUSG00000104238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102269,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1
ENSMUSG00000096126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,1,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,1,2,1,0,0,1,4,4,0,1,0,2,0,1,0,3
ENSMUSG00000102175,0,1,0,0,0,0,1,2,0,1,1,0,0,0,0,0
ENSMUSG00000088000,3,1,0,8,1,2,1,4,2,4,3,0,5,7,13,21
ENSMUSG00000103265,0,0,1,0,0,1,0,0,3,2,2,0,2,6,1,2
ENSMUSG00000103922,2,3,4,4,4,3,4,2,0,2,2,1,0,1,1,3
ENSMUSG00000033845.,446,440,457,455,413,408,345,894,551,395,432,404,891,902,1000,1310
ENSMUSG00000102275,1,11,4,7,1,11,3,11,5,0,3,3,5,17,10,18
ENSMUSG00000025903.,806,756,616,983,1147,897,640,979,870,643,637,646,967,1010,1002,1393
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813.,917,857,708,979,939,808,675,664,753,875,854,739,1255,1093,1303,1522
ENSMUSG00000062588,2,5,4,3,0,3,2,0,0,2,3,2,4,6,1,7
ENSMUSG00000103280,2,7,2,10,8,2,1,5,0,1,4,1,9,9,13,7
ENSMUSG00000002459.,23,24,23,23,31,24,26,30,15,10,16,11,44,61,57,52
ENSMUSG00000091305,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,3,2,0,1,0,0,0,0,0,0,0,1,1,0,1
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793.,1314,1245,1063,1326,1508,1310,923,1868,1073,968,1016,945,986,1006,1096,1397
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907.,1097,1106,980,1212,1374,1257,774,586,766,1231,1199,1142,796,600,813,821
ENSMUSG00000090031,21,70,53,76,34,49,24,23,28,40,39,34,24,29,25,35
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033740.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,0,1,0,0,0,0,0,0,0,2,1,1,0,2,1,1
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051285.,542,505,495,546,693,692,405,419,2918,2385,2528,2104,3847,3844,3369,5417
ENSMUSG00000098201,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103509,11,27,26,25,12,13,2,4,0,11,9,12,14,7,11,4
ENSMUSG00000048538,12,9,5,9,8,11,3,1,10,14,9,14,6,7,11,10
